index,acc_x,acc_z,resp,pzt,eda,emg
602,608,544,474,0,24,33
603,607,543,471,0,24,33
604,607,544,468,0,24,33
605,608,545,466,0,24,33
606,608,545,463,0,24,33
607,607,543,461,0,24,33
608,607,543,459,0,24,33
609,608,545,456,0,24,33
610,607,544,454,0,24,33
611,607,544,452,0,24,33
612,607,544,449,0,24,33
613,608,545,447,0,24,33
614,608,545,444,0,24,33
615,607,543,440,100,24,33
616,606,544,438,190,24,33
617,608,544,435,286,24,33
618,608,545,432,373,24,33
619,608,544,429,457,24,33
620,607,544,425,515,24,32
621,608,545,420,566,24,33
622,608,545,415,593,24,33
623,608,544,411,617,24,33
624,607,543,407,624,24,33
625,607,544,403,630,24,33
626,608,545,399,624,24,32
627,608,544,396,624,24,33
628,606,543,392,614,24,32
629,607,543,389,612,24,33
630,608,545,386,604,24,33
631,608,544,383,605,24,33
632,606,543,380,599,24,33
633,607,544,378,602,24,33
634,608,545,374,598,24,33
635,608,544,372,604,24,33
636,607,543,369,603,24,33
637,607,544,368,610,24,33
638,608,545,365,607,24,33
639,607,545,364,615,24,33
640,607,543,363,614,24,33
641,607,544,361,618,24,33
642,608,545,359,612,24,33
643,608,545,357,614,24,33
644,607,544,356,606,24,33
645,608,544,354,603,24,33
646,608,544,353,594,24,33
647,608,544,351,594,24,33
648,606,543,348,584,24,33
649,607,543,347,583,24,33
650,608,544,343,576,24,33
651,608,544,341,579,24,33
652,607,543,339,574,24,33
653,607,544,335,575,24,33
654,608,544,332,568,24,33
655,608,545,330,569,24,33
656,607,544,327,563,24,33
657,607,543,326,565,24,33
658,608,544,323,559,24,33
659,607,545,320,563,24,33
660,607,543,318,556,24,33
661,607,543,315,559,24,33
662,607,544,313,551,24,33
663,608,545,311,552,24,33
664,607,543,308,546,24,33
665,608,544,306,550,24,33
666,608,544,304,542,24,33
667,608,544,302,543,24,33
668,607,544,302,536,24,33
669,607,544,299,535,24,33
670,607,545,298,527,24,32
671,608,544,298,527,24,33
672,607,544,297,519,24,33
673,607,543,295,518,24,33
674,607,544,294,510,24,33
675,609,545,294,508,24,33
676,607,544,292,499,24,33
677,606,543,292,499,24,33
678,608,544,291,491,24,33
679,608,545,291,491,24,33
680,607,544,291,484,24,33
681,607,543,291,485,24,33
682,607,544,291,476,24,33
683,608,545,291,479,24,33
684,607,543,293,475,24,33
685,607,543,294,480,24,33
686,607,544,292,476,24,33
687,609,545,294,480,24,33
688,607,545,295,478,24,33
689,607,543,295,486,24,33
690,607,544,297,486,24,33
691,609,545,297,495,24,33
692,607,544,299,496,24,33
693,607,543,299,504,24,33
694,607,544,299,504,24,33
695,608,544,300,513,24,33
696,608,545,302,512,24,33
697,607,543,302,521,24,33
698,607,544,303,519,24,32
699,608,544,304,525,24,33
700,607,545,305,524,24,33
701,606,543,308,530,24,33
702,607,543,308,527,24,33
703,608,544,310,533,24,33
704,607,545,312,532,24,33
705,607,543,313,539,24,33
706,607,543,315,539,24,33
707,608,544,316,544,24,33
708,608,545,316,542,24,32
709,607,543,318,546,24,33
710,607,543,319,541,24,33
711,609,545,319,545,24,33
712,607,545,319,541,24,33
713,607,543,320,545,24,33
714,607,544,320,539,24,33
715,609,543,321,541,24,33
716,608,545,321,534,24,33
717,607,544,321,535,24,33
718,607,543,321,527,24,32
719,608,544,321,527,24,33
720,608,545,320,519,24,33
721,607,544,319,524,24,33
722,607,543,319,519,24,32
723,608,544,318,521,24,33
724,608,545,318,517,24,33
725,607,544,319,524,24,33
726,607,543,318,522,24,33
727,608,545,318,530,24,33
728,608,545,318,527,24,33
729,607,544,318,535,24,33
730,607,544,319,535,24,33
731,609,544,319,542,24,33
732,607,545,320,543,24,33
733,607,544,320,552,24,33
