acc_x,acc_z,resp,pzt,eda,emg
511,614,469,489,4,31
510,615,469,484,5,35
510,614,469,479,4,30
511,614,469,474,5,35
512,614,468,471,4,30
511,614,467,467,5,37
510,614,466,466,4,30
511,615,465,465,4,36
511,614,463,467,4,30
511,614,462,469,5,36
511,614,459,471,4,30
510,614,456,473,5,36
511,614,454,475,4,31
510,614,450,476,5,31
511,614,447,478,4,31
511,614,445,480,4,28
511,614,444,480,4,30
510,615,443,479,5,37
510,614,442,479,4,32
511,614,442,478,5,35
511,614,440,477,4,33
511,615,440,474,5,36
510,614,440,471,4,34
511,614,440,467,4,35
511,614,441,463,4,29
510,614,443,461,5,33
511,614,445,458,4,30
511,614,447,457,5,36
511,614,449,453,4,31
510,614,451,450,5,34
511,614,453,446,4,29
511,614,455,441,4,35
511,614,457,439,4,27
511,614,460,436,4,33
510,614,463,433,4,39
511,614,466,433,5,37
512,614,469,433,4,29
510,614,472,435,5,41
510,614,474,440,4,34
511,614,476,442,4,32
511,614,479,444,4,36
511,615,481,448,4,34
510,614,483,450,4,29
511,614,486,450,4,31
511,614,487,452,4,35
510,615,488,452,5,36
510,614,491,451,4,30
510,614,493,449,4,37
511,614,494,446,4,28
511,614,496,442,4,34
511,614,496,439,4,29
511,615,494,436,5,35
511,614,491,435,4,28
511,615,487,435,5,38
511,614,485,437,4,33
511,614,483,442,4,37
512,614,480,449,4,29
510,615,480,461,5,35
511,614,480,475,4,27
511,614,482,491,4,32
510,614,484,510,4,32
511,615,486,531,4,34
511,614,487,555,4,30
511,614,490,575,4,35
512,614,492,593,4,31
510,614,494,610,4,35
510,614,495,625,4,30
511,614,495,635,5,35
511,614,496,640,4,29
511,614,495,644,4,35
510,614,495,643,4,30
511,614,494,639,4,35
511,614,492,633,4,30
511,614,490,625,4,35
510,614,487,616,4,30
511,614,486,606,5,34
511,614,484,594,4,30
511,614,482,585,4,35
510,614,479,576,4,30
511,615,476,569,5,36
511,614,472,563,4,30
511,614,468,556,4,35
511,614,465,549,4,30
511,614,461,543,5,36
511,614,458,536,4,30
510,615,455,529,4,36
511,614,451,522,4,30
511,614,448,515,5,36
512,614,443,509,4,30
511,614,438,503,4,35
511,614,432,500,4,30
511,615,425,498,4,36
512,614,419,497,4,30
511,615,413,497,5,36
511,614,406,498,4,30
511,614,399,499,5,36
511,614,391,501,4,30
511,615,385,504,4,35
510,614,379,504,4,31
510,613,374,505,5,36
512,614,367,506,4,32
510,614,361,504,5,35
511,615,355,503,4,31
511,614,349,502,5,35
511,614,344,500,4,30
511,615,339,499,5,35
510,614,336,496,4,30
511,614,332,493,4,36
512,614,328,489,4,30
511,614,326,486,5,35
510,614,322,482,4,32
510,615,319,479,4,36
512,614,317,474,4,31
511,614,315,472,5,35
510,614,313,472,4,29
511,614,313,470,5,37
512,614,310,469,4,30
511,615,310,468,5,34
511,614,307,468,4,33
510,615,306,465,5,35
512,614,304,463,4,30
511,614,305,461,4,37
510,614,303,460,4,30
511,614,304,461,5,35
510,614,302,460,4,29
510,614,302,461,5,35
510,615,299,461,4,30
511,614,295,459,5,37
511,613,292,458,4,30
511,614,287,457,5,38
510,614,284,456,4,28
510,614,280,455,5,33
511,615,278,454,4,27
511,614,277,453,5,31
510,615,277,451,4,32
511,614,279,450,5,35
512,614,280,448,4,27
511,614,280,448,5,36
510,615,281,445,4,29
511,614,281,444,5,33
511,614,283,443,4,30
511,615,285,441,5,35
511,614,284,439,4,31
511,615,284,438,5,34
511,614,284,439,4,29
510,615,283,440,5,37
510,614,283,442,4,30
511,614,282,444,5,35
511,614,284,445,4,24
511,614,281,447,5,36
510,614,281,450,4,32
511,614,281,456,5,32
512,614,282,466,4,32
511,615,284,479,4,32
511,614,284,497,4,31
511,614,285,520,5,40
512,614,285,547,4,32
511,614,285,575,4,36
511,614,284,603,4,32
511,614,285,628,4,33
511,615,284,650,4,29
511,614,283,667,5,37
510,614,281,678,4,33
511,615,280,687,4,40
512,615,276,692,4,29
510,614,274,691,4,30
510,614,271,687,4,26
511,614,269,680,5,34
510,614,265,670,4,40
510,615,263,659,4,40
510,614,259,647,4,34
511,614,255,635,4,35
511,614,253,624,4,24
511,615,248,613,4,36
511,614,245,604,4,31
511,614,243,595,5,46
511,615,239,586,4,40
511,614,236,577,5,35
510,615,234,568,4,35
510,614,231,560,5,36
511,614,228,550,4,25
510,613,226,541,5,39
510,614,224,533,4,32
511,615,223,526,5,33
511,615,220,519,4,28
510,614,219,514,4,34
511,614,218,511,4,26
511,614,217,509,4,36
512,615,215,508,4,31
510,614,215,510,5,42
510,614,214,511,4,30
510,615,212,516,5,37
511,613,210,520,4,31
511,614,208,524,5,30
510,614,207,527,4,30
